pid,screen_width,screen_height,condition,writing_assignment,awe,fear,amazement,happiness,fascination,content_video,content_study,video_played,video_problems,sound_on,attentive,conscientious,screen_control,screen_control_other,num_strengths,num_weaks,has_agreed,has_writing_assignment,num_strengths_z,num_weaknesses_z,has_outlier,has_zero_weaks,has_sound,has_video,has_attentiveness,awe_scale,num_strengths_log,num_weaks_log,balance,balance_log,num_strengths1_log,num_weaks1_log,balance1,balance1_log
15723e3b,667,315,exp_new,"Analytische Fähigkeit
Empathie
Zuhören
Struktur
Klarheit
Intelligenz
Organisationstalent
Vernetzung
",6,5,6,3,6,"Vom Detail zum großen Ganzen
Mensch/Erde ist nur ein kleiner Punkt im Universum",Einfluss auf Selbstbeurteilung,1,"",1,1,1,1,"",8,0,TRUE,TRUE,1.18713431873351,-1.22409238038108,FALSE,TRUE,TRUE,TRUE,TRUE,6,2.07944154167984,-Inf,Inf,Inf,2.19722457733622,0,9,2.19722457733622
10d7505f,390,699,exp_old,"Meine Stärken sind wohl dass ich sehr hilfsbereit bin. Ich bin einfühlsam und kann mit gut in andere hineinversetzen und dadurch gut mit anderen zusammenarbeiten. Außerdem kann ich in schwierigen Situationen oder bei schwierigen Aufgaben gut einen kühlen Kopf bewahren und auch analytisch vorgehen. Zudem würde ich mich als sehr offen und aufgeschlossen beschreiben.
Leider neige ich dazu Dinge zu viel zu überdenken, wodurch ich leicht meine normalerweise optimistische Einstellung herunterziehe. Außerdem gehen mir viele Situationen sehr nahe.",6,2,7,6,7,"- Vergleich der Erde zu anderen uns bekannten Planeten und Sternen im Universum
- zuerst Vergleich zu unserem Sonnensystem, dann Vergleich zu größeren Sternen als die Sonne 
- von kleinstem Planet zu größtem Stern
- am Ende Vergleich der Erde zu größtem Stern",Vielleicht wie die Stärken und Schwächen bzw. Persönlichkeit einer Person Einfluss auf das Erleben und die Emotionen in bestimmten Situationen oder bei Videos (mit speziellem Ton) hat,1,"",1,1,1,1,"",8,2,TRUE,TRUE,1.18713431873351,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,6.66666666666667,2.07944154167984,0.693147180559945,4,1.38629436111989,2.19722457733622,1.09861228866811,3,1.09861228866811
6d78c85d,1180,688,exp_new,"Stärken: verantwortungsbewusst, gutes Organisationsgeschick, ich kann gut zuhören, Empathie, ich kann schnell Neues lernen & merken, interessiert

Schwächen:
Unsicher, Geduld",6,2,6,4,6,Aus der Erde rausgezoomt ins Universum,Zusammenhang von Staunen & Persönlichkeit,1,"",1,1,1,2,"",7,2,TRUE,TRUE,0.816467906977055,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,6,1.94591014905531,0.693147180559945,3.5,1.25276296849537,2.07944154167984,1.09861228866811,2.66666666666667,0.980829253011726
9cb0e6d2,393,773,exp_new,Ich bin einfühlsam und kümmere mich um die Gefühle von anderen. Ich kann gut planen und organisieren. Jedoch kann ich schnell genervt werden.,4,1,2,1,3,Um die Erde und das Weltall und wie klein wir im Vergleich dazu sind.,Wie Musik und Perspektive einen Einfluss auf die Wahrnehmung haben.,1,"",1,1,1,1,"",4,1,TRUE,TRUE,-0.295531328292308,-0.712324944515543,FALSE,FALSE,TRUE,TRUE,TRUE,3,1.38629436111989,0,4,1.38629436111989,1.6094379124341,0.693147180559945,2.5,0.916290731874155
37e10ef4,393,695,exp_old,"Stärken: 
Körperlich: Ausdauer, Kraft, Hand Augen coordination, vielfältige Erfahrung. 
Mental: Durchhaltevermögen und Motiviert, schlau
Schwächen: faul wenn kein Ziel, unmotiviert wenn es etwas is was ich nicht gut kann

Mache nur gerne Sachen die ich gut kann und muss für Neues oft leicht gezwungen/überredet werden
",2,1,3,2,4,"Größendimensionen in unserem Universum
",Die Selbsteinschätzung nachdem gezweigt wird wie klein und evtl unnötig wir sind im Vergleich zum Universum,1,"",1,1,1,1,"",7,4,TRUE,TRUE,0.816467906977055,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,3,1.94591014905531,1.38629436111989,1.75,0.559615787935423,2.07944154167984,1.6094379124341,1.6,0.470003629245736
96e326d5,1210,702,exp_old,"Meine Stärken sind, dass ich eher emphatisch bin (was manche auch als Schwäche bezeichnen). Ich hab Humor und ich hab das Gefühl Leute fühlen sich wohn um mich herum. Außerdem bemühe ich mich immer Nett und hilfsbereit zu sein. Zu meinen Schwächen zählt, dass ich nicht sehr fleißig bin. Sehr anhänglich bin. Aufmerksamkeit brauche…",5,1,4,3,4,"Die Größe der Welt 
Vergleich der Welt mit anderen Planeten/Sternen","Ich glaube in der Studie ging es um das Vergleichen. Also das vergleichen der Planeten durch Größe, das vergleichen von uns Menschen durch stärken und schwächen. Aber es könnte auch darum gehen, wie groß unser Universum ist, und was ein winziger Teil wir doch sind, und unsere Stärken und Schwächen im Vergleich zum Weltall doch nur winzig und unwichtig sind.",1,"",1,1,1,2,"",5,3,TRUE,TRUE,0.0751350834641462,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,4.33333333333333,1.6094379124341,1.09861228866811,1.66666666666667,0.510825623765991,1.79175946922806,1.38629436111989,1.5,0.405465108108164
82aba538,1920,947,control,"Meine Stärken sind hohes Einfühlungsvermögen, Verständnis, Neutralität und Allparteilichkeit, Motivation und Volition. Meine Schwächen sind ein zu hohes Verantwortungsbewusstsein, wenig Humor, ich kann mit nahmen Menschen sehr fordernd sein, ich brauche viel Ruhe und führe schlecht lockere Gespräche, ich kann mich nicht gut in Gruppen integrieren",3,2,1,1,2,Mauern und Mauerbau,Wie langweilige Videos unsere Selbstwahrnehmung beeinflussen.,1,"",2,2,1,3,"",6,6,TRUE,TRUE,0.445801495220601,1.84651223481214,FALSE,FALSE,FALSE,TRUE,FALSE,2,1.79175946922806,1.79175946922806,1,0,1.94591014905531,1.94591014905531,1,0
818036ee,430,775,control,"Stärken: 
Sprachen 
Kunst & Kreativität 

Schwächen: 
Mathematik
Technik 
Wenig Geduld",1,1,2,2,2,Informationen um Mauern stabiler zu errichten,/,1,"",1,1,1,1,"",3,3,TRUE,TRUE,-0.666197740048763,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,1.66666666666667,1.09861228866811,1.09861228866811,1,0,1.38629436111989,1.38629436111989,1,0
ca72fe3e,1272,668,control,"Stärken: ich bin vor allem gut im logische analytischen Denken  und bin positiv, motiviert und diszipliniert und gut in Teamarbeit. 
Schwächen: Ich bin vllt etwas ungeduldig und manchmal faul",1,1,2,2,3,"Methoden, um eine Mauer zu stabilisieren.
Zum Beispiel Kurven/Ecken, Rohre oder Kleber + Werbung","Keine Ahnung, vllt worauf man den Fokus setzt beim Video",1,"",1,1,1,3,"",5,2,TRUE,TRUE,0.0751350834641462,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,2,1.6094379124341,0.693147180559945,2.5,0.916290731874155,1.79175946922806,1.09861228866811,2,0.693147180559945
62b8f0a6,430,729,exp_new,"Meine Stärke ist, dass ich gerne und viel rede. Immer mit anderen Leuten das Gespräch suche und mich sehr für das Leben meiner Mitmenschen interessiere. Wenn ich jemanden kenne, bin ich super offen, immer für diese Person da und schätze jeden Moment. Meine Schwöche jedoch ist, dass ich erst Zeit brauche um mich zu öffnen. Ich angst habe, zu schlecht für etwas zu sein und mich dann oft nicht traue etwas zu tun. Mir fehlt oft das Selbstbewusstsein aus mir raus zu kommen und mich so zu zeigen wie ich bin. Außerdem versuche ich es immer allen anderen gerecht zu machen und merke dadurch nicht, dass ich einfach ich sein sollte anstatt mich zu verstellen.",4,4,7,2,6,"- Universum
- wie klein die Welt ist im Vergleich zu der Milchstraße
- Verlassen von Bekanntem ins Ungewisse",Wie verschiedene Menschen Videos in Kombination mit Tönen wahrnehmen und interpretieren + auf den eigenen Charakter beziehen/ widerspiegeln,1,"",1,1,1,1,"",6,7,TRUE,TRUE,0.445801495220601,2.35827967067767,FALSE,FALSE,TRUE,TRUE,TRUE,5.66666666666667,1.79175946922806,1.94591014905531,0.857142857142857,-0.154150679827258,1.94591014905531,2.07944154167984,0.875,-0.133531392624523
